loc	attr	value	value.def
ImageElementPreserveAspectRatioAttribute	preserveAspectRatio	[defer] <align> [<meetOrSlice>]	 See 'preserveAspectRatio'. If attribute 'preserveAspectRatio' is not specified, then the effect is as if a value of xMidYMid meet were specified. Animatable. yes. 
RequiredFeaturesAttribute	requiredFeatures	 list.of.features	The value is a list of feature strings, with the individual values separated by white space. Determines whether all of the named features are supported by the user agent. Only feature strings defined in the Feature String appendix are allowed. If all of the given features are supported, then the attribute evaluates to true; otherwise, the current element and its children are skipped and thus will not be rendered.Animatable. no.
RequiredExtensionsAttribute	requiredExtensions	 list.of.extensions	The value is a list of IRI references which identify the required extensions, with the individual values separated by white space. Determines whether all of the named extensions are supported by the user agent. If all of the given extensions are supported, then the attribute evaluates to true; otherwise, the current element and its children are skipped and thus will not be rendered.Animatable. no.
ExternalResourcesRequiredAttribute	externalResourcesRequired	false	(The default value.) Indicates that resources external to the current document are optional. Document rendering can proceed even if external resources are unavailable to the current element and its descendants.
ExternalResourcesRequiredAttribute	externalResourcesRequired	true	Indicates that resources external to the current document are required. If an external resource is not available, progressive rendering is suspended, the document's SVGLoad event is not fired and the animation timeline does not begin until that resource and all other required resources become available, have been parsed and are ready to be rendered. If a timeout event occurs on a required resource, then the document goes into an error state (see Error processing). The document remains in an error state until all required resources become available.
IDAttribute	id	name	Standard XML attribute for assigning a unique name to an element. Refer to the Extensible Markup Language (XML) 1.0 Recommendation [XML10].Animatable. no.
XMLBaseAttribute	xml:base	<iri>	Specifies a base IRI other than the base IRI of the document or external entity. Refer to the XML Base specification [XML.BASE].Animatable. no.
XMLLangAttribute	xml:lang	languageID	Standard XML attribute to specify the language (e.g., English) used in the contents and attribute values of particular elements. Refer to the Extensible Markup Language (XML) 1.0 Recommendation [XML10].Animatable. no.
XMLSpaceAttribute	xml:space	{default | preserve}	Standard XML attribute to specify whether white space is preserved in character data. The only possible values are 'default' and 'preserve'. Refer to the Extensible Markup Language (XML) 1.0 Recommendation [XML10] and to the discussion white space handling in SVG.Animatable. no.
StyleElementTypeAttribute	type	 content.type	This attribute specifies the style sheet language of the element's contents. The style sheet language is specified as a content type (e.g., "text/css"), as per MIME Part Two. Media Types [RFC2046]. If a 'type' is not provided, the value of 'contentStyleType' on the 'svg' element shall be used, which in turn defaults to "text/css" [RFC2046]. If a 'style' element falls outside of the outermost svg element and the 'type' is not provided, the 'type' must default to "text/css" [RFC2046]. Animatable. no.
StyleElementMediaAttribute	media	 media.descriptors	This attribute specifies the intended destination medium for style information. It may be a single media descriptor or a comma.separated list. The default value for this attribute is "all". The set of recognized media.descriptors are the list of media types recognized by CSS2 ([CSS2], section 7.3).Animatable. no.
StyleElementTitleAttribute	title	 advisory.title	(For compatibility with HTML 4 [HTML4].) This attribute specifies an advisory title for the 'style' element.Animatable. no.
ClassAttribute	class	 list	This attribute assigns a class name or set of class names to an element. Any number of elements may be assigned the same class name or names. Multiple class names must be separated by white space characters.Animatable. yes.
StyleAttribute	style	 style	This attribute specifies style information for the current element. The style attribute specifies style information for a single element. The style sheet language of inline style rules is given by the value of attribute 'contentStyleType' on the 'svg' element. The syntax of style data depends on the style sheet language.Animatable. no.
ContentStyleTypeAttribute	contentStyleType	content.type	Identifies the default style sheet language for the given document. That language must then be used for all instances of style that do not specify their own style sheet language, such as the 'style' attributes that are available on many elements. The value content.type specifies a media type, per MIME Part Two. Media Types [RFC2046]. The default value is "text/css" [RFC2318].Animatable. no.
XLinkTypeAttribute	xlink:type	simple	Identifies the type of XLink being used. In SVG 1.1, only simple links are available. Links are simple links by default, so the attribute xlink.type="simple" is optional and may be omitted on simple links. Refer to the XML Linking Language (XLink) [XLINK]. Animatable. no.
XLinkRoleAttribute	xlink:role	<IRI>	An optional IRI reference that identifies some resource that describes the intended property. The value must be an IRI reference as defined in [RFC3987], except that if the IRI scheme used is allowed to have absolute and relative forms, the IRI portion must be absolute. When no value is supplied, no particular role value shall be inferred. Refer to the XML Linking Language (XLink) [XLINK]. Animatable. no.
XLinkArcRoleAttribute	xlink:arcrole	<IRI>	An optional IRI reference that identifies some resource that describes the intended property. The value must be an IRI reference as defined in [RFC3987], except that if the IRI scheme used is allowed to have absolute and relative forms, the IRI portion must be absolute. When no value is supplied, no particular role value shall be inferred. The arcrole attribute corresponds to the [RDF.PRIMER] notion of a property, where the role can be interpreted as stating that "starting.resource HAS arc.role ending.resource." This contextual role can differ from the meaning of an ending resource when taken outside the context of this particular arc. For example, a resource might generically represent a "person," but in the context of a particular arc it might have the role of "mother" and in the context of a different arc it might have the role of "daughter." Refer to the XML Linking Language (XLink) [XLINK]. Animatable. no.
XLinkTitleAttribute	xlink:title	<anything>	The title attribute shall be used to describe the meaning of a link or resource in a human.readable fashion, along the same lines as the role or arcrole attribute. A value is optional; if a value is supplied, it shall contain a string that describes the resource. In general it is preferable to use a 'title' child element rather than a 'title' attribute. The use of this information is highly dependent on the type of processing being done. It may be used, for example, to make titles available to applications used by visually impaired users, or to create a table of links, or to present help text that appears when a user lets a mouse pointer hover over a starting resource. Refer to the XML Linking Language (XLink) [XLINK]. Animatable. no.
XLinkShowAttribute	xlink:show	new replace embed other none	This attribute is provided for backwards compatibility with SVG 1.1. It provides documentation to XLink.aware processors. In case of a conflict, the target attribute has priority, since it can express a wider range of values. Refer to the XML Linking Language (XLink) [XLINK]. Animatable. no.
XLinkActuateAttribute	xlink:actuate	onLoad	This attribute is provided for backwards compatibility with SVG 1.1. It provides documentation to XLink.aware processors. Refer to the XML Linking Language (XLink) [XLINK]. Animatable. no.
XLinkShowAttribute	xlink:show	new replace	This attribute provides documentation to XLink.aware processors. If target="_blank" then use xlink.show="new" else use 'replace'. In case of a conflict, the target attribute has priority, since it can express a wider range of values. Refer to the XML Linking Language (XLink) [XLINK]. Animatable. no.
AElementXLinkActuateAttribute	xlink:actuate	"onRequest"	This attribute provides documentation to XLink.aware processors that an application should traverse from the starting resource to the ending resource only on a post.loading event triggered for the purpose of traversal. Refer to the XML Linking Language (XLink) [XLINK]. Animatable. no.
AElementXLinkHrefAttribute	xlink:href	<IRI>	The location of the referenced object, expressed as an IRI reference. Animatable. yes. 
AElementTargetAttribute	target	_replace	The current SVG image is replaced by the linked content in the same rectangular area in the same frame as the current SVG image.
AElementTargetAttribute	target	_self	The current SVG image is replaced by the linked content in the same frame as the current SVG image. If the attribute is not specified, '_self' is assumed.
AElementTargetAttribute	target	_parent	The immediate frameset parent of the SVG image is replaced by the linked content.
AElementTargetAttribute	target	_top	The content of the full window or tab, including any frames, is replaced by the linked content
AElementTargetAttribute	target	_blank	A new un.named window or tab is requested for the display of the linked content. If this fails, the result is the same as _top
AElementTargetAttribute	target	<XML.Name>	Specifies the name of the frame, pane, or other relevant presentation context for display of the linked content. If this already exists, it is re.used, replacing the existing content. If it does not exist, it is created (the same as '_blank', except that it now has a name). 
ViewElementViewTargetAttribute	viewTarget	 "XML_Name [XML_NAME]*"	Indicates the target object associated with the view. Animatable. no.
TextElementXAttribute	x	<list.of.coordinates>	If a single <coordinate> is provided, then the value represents the new absolute X coordinate for the current text position for rendering the glyphs that correspond to the first character within this element or any of its descendants. If a comma. or space.separated list of n <coordinate>s is provided, then the values represent new absolute X coordinates for the current text position for rendering the glyphs corresponding to each of the first n characters within this element or any of its descendants. For additional processing rules, refer to the description of the 'x' attribute on the 'tspan' element. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
TextElementYAttribute	y	<list.of.coordinates>	The corresponding list of absolute Y coordinates for the glyphs corresponding to the characters within this element. The processing rules for the 'y' attribute parallel the processing rules for the 'x' attribute. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
TextElementDXAttribute	dx	<list.of.lengths>	Shifts in the current text position along the x.axis for the characters within this element or any of its descendants. Refer to the description of the 'dx' attribute on the 'tspan' element. If the attribute is not specified on this element or any of its descendants, no supplemental shifts along the x.axis will occur.Animatable. yes.
TextElementDYAttribute	dy	<list.of.lengths>	Shifts in the current text position along the y.axis for the characters within this element or any of its descendants. Refer to the description of the 'dy' attribute on the 'tspan' element. If the attribute is not specified on this element or any of its descendants, no supplemental shifts along the y.axis will occur.Animatable. yes.
TextElementRotateAttribute	rotate	<list.of.numbers>	The supplemental rotation about the current text position that will be applied to all of the glyphs corresponding to each character within this element. Refer to the description of the 'rotate' attribute on the 'tspan' element. If the attribute is not specified on this element or any of its descendants, no supplemental rotations will occur.Animatable. yes (non.additive).
TextElementTextLengthAttribute	textLength	<length>	The author's computation of the total sum of all of the advance values that correspond to character data within this element, including the advance value on the glyph (horizontal or vertical), the effect of properties 'kerning', 'letter.spacing' and 'word.spacing' and adjustments due to attributes 'dx' and 'dy' on 'tspan' elements. This value is used to calibrate the user agent's own calculations with that of the author. The purpose of this attribute is to allow the author to achieve exact alignment, in visual rendering order after any bidirectional reordering, for the first and last rendered glyphs that correspond to this element; thus, for the last rendered character (in visual rendering order after any bidirectional reordering), any supplemental inter.character spacing beyond normal glyph advances are ignored (in most cases) when the user agent determines the appropriate amount to expand/compress the text string to fit within a length of 'textLength'. A negative value is an error (see Error processing). If the attribute is not specified, the effect is as if the author's computation exactly matched the value calculated by the user agent; thus, no advance adjustments are made.Animatable. yes.
TextElementLengthAdjustAttribute	lengthAdjust	spacing|spacingAndGlyphs	Indicates the type of adjustments which the user agent shall make to make the rendered length of the text match the value specified on the 'textLength' attribute.'spacing' indicates that only the advance values are adjusted. The glyphs themselves are not stretched or compressed.'spacingAndGlyphs' indicates that the advance values are adjusted and the glyphs themselves stretched or compressed in one axis (i.e., a direction parallel to the inline.progression.direction). The user agent is required to achieve correct start and end positions for the text strings, but the locations of intermediate glyphs are not predictable because user agents might employ advanced algorithms to stretch or compress text strings in order to balance correct start and end positioning with optimal typography. Note that, for a text string that contains n characters, the adjustments to the advance values often occur only for n1 characters (see description of attribute 'textLength'), whereas stretching or compressing of the glyphs will be applied to all n characters. If the attribute is not specified, the effect is as a value of 'spacing' were specified.Animatable. yes.
TSpanElementXAttribute	x	<list.of.coordinates>	If a single <coordinate> is provided, then the value represents the new absolute X coordinate for the current text position for rendering the glyphs that correspond to the first character within this element or any of its descendants. If a comma. or space.separated list of n <coordinate>s is provided, then the values represent new absolute X coordinates for the current text position for rendering the glyphs corresponding to each of the first n characters within this element or any of its descendants. If more <coordinate>s are provided than characters, then the extra <coordinate>s will have no effect on glyph positioning. If more characters exist than <coordinate>s, then for each of these extra characters. (a) if an ancestor 'text' or 'tspan' element specifies an absolute X coordinate for the given character via an 'x' attribute, then that absolute X coordinate is used as the starting X coordinate for that character (nearest ancestor has precedence), else (b) the starting X coordinate for rendering the glyphs corresponding to the given character is the X coordinate of the resulting current text position from the most recently rendered glyph for the current 'text' element. If the attribute is not specified. (a) if an ancestor 'text' or 'tspan' element specifies an absolute X coordinate for a given character via an 'x' attribute, then that absolute X coordinate is used (nearest ancestor has precedence), else (b) the starting X coordinate for rendering the glyphs corresponding to a given character is the X coordinate of the resulting current text position from the most recently rendered glyph for the current 'text' element.Animatable. yes.
TSpanElementYAttribute	y	<list.of.coordinates>	The corresponding list of absolute Y coordinates for the glyphs corresponding to the characters within this element. The processing rules for the 'y' attribute parallel the processing rules for the 'x' attribute.Animatable. yes.
TSpanElementDXAttribute	dx	<list.of.lengths>	If a single <length> is provided, this value represents the new relative X coordinate for the current text position for rendering the glyphs corresponding to the first character within this element or any of its descendants. The current text position is shifted along the x.axis of the current user coordinate system by <length> before the first character's glyphs are rendered. If a comma. or space.separated list of n <length>s is provided, then the values represent incremental shifts along the x.axis for the current text position before rendering the glyphs corresponding to the first n characters within this element or any of its descendants. Thus, before the glyphs are rendered corresponding to each character, the current text position resulting from drawing the glyphs for the previous character within the current 'text' element is shifted along the X axis of the current user coordinate system by <length>. If more <length>s are provided than characters, then any extra <length>s will have no effect on glyph positioning. If more characters exist than <length>s, then for each of these extra characters. (a) if an ancestor 'text' or 'tspan' element specifies a relative X coordinate for the given character via a 'dx' attribute, then the current text position is shifted along the x.axis of the current user coordinate system by that amount (nearest ancestor has precedence), else (b) no extra shift along the x.axis occurs. If the attribute is not specified. (a) if an ancestor 'text' or 'tspan' element specifies a relative X coordinate for a given character via a 'dx' attribute, then the current text position is shifted along the x.axis of the current user coordinate system by that amount (nearest ancestor has precedence), else (b) no extra shift along the x.axis occurs.Animatable. yes.
TSpanElementDYAttribute	dy	<list.of.lengths>	The corresponding list of relative Y coordinates for the characters within the 'tspan' element. The processing rules for the 'dy' attribute parallel the processing rules for the 'dx' attribute.Animatable. yes.
TSpanElementRotateAttribute	rotate	<list.of.numbers>	The supplemental rotation about the current text position that will be applied to all of the glyphs corresponding to each character within this element. If a comma. or space.separated list of <number>s is provided, then the first <number> represents the supplemental rotation for the glyphs corresponding to the first character within this element or any of its descendants, the second <number> represents the supplemental rotation for the glyphs that correspond to the second character, and so on. If more <number>s are provided than there are characters, then the extra <number>s will be ignored. If more characters are provided than <number>s, then for each of these extra characters the rotation value specified by the last number must be used. If the attribute is not specified and if an ancestor 'text' or 'tspan' element specifies a supplemental rotation for a given character via a 'rotate' attribute, then the given supplemental rotation is applied to the given character (nearest ancestor has precedence). If there are more characters than <number>s specified in the ancestor's 'rotate' attribute, then for each of these extra characters the rotation value specified by the last number must be used. This supplemental rotation has no impact on the rules by which current text position is modified as glyphs get rendered and is supplemental to any rotation due to text on a path and to 'glyph.orientation.horizontal' or 'glyph.orientation.vertical'.Animatable. yes (non.additive). 
TSpanElementTextLengthAttribute	textLength	<length>	The author's computation of the total sum of all of the advance values that correspond to character data within this element, including the advance value on the glyph (horizontal or vertical), the effect of properties 'kerning', 'letter.spacing' and 'word.spacing' and adjustments due to attributes 'dx' and 'dy' on this 'tspan' element or any descendants. This value is used to calibrate the user agent's own calculations with that of the author. The purpose of this attribute is to allow the author to achieve exact alignment, in visual rendering order after any bidirectional reordering, for the first and last rendered glyphs that correspond to this element; thus, for the last rendered character (in visual rendering order after any bidirectional reordering), any supplemental inter.character spacing beyond normal glyph advances are ignored (in most cases) when the user agent determines the appropriate amount to expand/compress the text string to fit within a length of 'textLength'. If attribute 'textLength' is specified on a given element and also specified on an ancestor, the adjustments on all character data within this element are controlled by the value of 'textLength' on this element exclusively, with the possible side.effect that the adjustment ratio for the contents of this element might be different than the adjustment ratio used for other content that shares the same ancestor. The user agent must assume that the total advance values for the other content within that ancestor is the difference between the advance value on that ancestor and the advance value for this element. A negative value is an error (see Error processing). If the attribute is not specified anywhere within a 'text' element, the effect is as if the author's computation exactly matched the value calculated by the user agent; thus, no advance adjustments are made.Animatable. yes.
TRefElementHrefAttribute	xlink:href	<iri>	An IRI reference to an element whose character data content shall be used as character data for this 'tref' element.Animatable. yes.
TextPathElementStartOffsetAttribute	startOffset	<length>	An offset from the start of the 'path' for the initial current text position, calculated using the user agent's distance along the path algorithm. If a <length> other than a percentage is given, then the 'startOffset' represents a distance along the path measured in the current user coordinate system. If a percentage is given, then the 'startOffset' represents a percentage distance along the entire path. Thus, startOffset="0" indicates the start point of the 'path' and startOffset="100" indicates the end point of the 'path'. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
TextPathElementMethodAttribute	method	align | stretch	Indicates the method by which text should be rendered along the path. A value of align indicates that the glyphs should be rendered using simple 2x3 transformations such that there is no stretching/warping of the glyphs. Typically, supplemental rotation, scaling and translation transformations are done for each glyph to be rendered. As a result, with align, fonts where the glyphs are designed to be connected (e.g., cursive fonts), the connections may not align properly when text is rendered along a path. A value of stretch indicates that the glyph outlines will be converted into paths, and then all end points and control points will be adjusted to be along the perpendicular vectors from the path, thereby stretching and possibly warping the glyphs. With this approach, connected glyphs, such as in cursive scripts, will maintain their connections. If the attribute is not specified, the effect is as if a value of align were specified.Animatable. yes.
TextPathElementSpacingAttribute	spacing	auto | exact	Indicates how the user agent should determine the spacing between glyphs that are to be rendered along a path. A value of exact indicates that the glyphs should be rendered exactly according to the spacing rules as specified in Text on a path layout rules. A value of auto indicates that the user agent should use text.on.a.path layout algorithms to adjust the spacing between glyphs in order to achieve visually appealing results. If the attribute is not specified, the effect is as if a value of exact were specified.Animatable. yes.
TextPathElementHrefAttribute	xlink:href	<iri>	An IRI reference to the 'path' element onto which the glyphs will be rendered. If <iri> is an invalid reference (e.g., no such element exists, or the referenced element is not a 'path'), then the 'textPath' element is in error and its entire contents shall not be rendered by the user agent.Animatable. yes.
AltGlyphElementHrefAttribute	xlink:href	<iri>	An IRI reference either to a 'glyph' element in an SVG document fragment or to an 'altGlyphDef' element. If the reference is to a 'glyph' element and that glyph is available, then that glyph is rendered instead of the character(s) that are inside of the 'altGlyph' element. If the reference is to an 'altGlyphDef' element, then if an appropriate set of alternate glyphs is located from processing the 'altGlyphDef' element, then those alternate glyphs are rendered instead of the character(s) that are inside of the 'altGlyph' element.Animatable. no.
AltGlyphElementGlyphRefAttribute	glyphRef	<string>	The glyph identifier, the format of which is dependent on the 'format' of the given font. (Same meaning as the 'glyphRef' attribute on the 'glyphRef' element.)Animatable. no.
AltGlyphElementFormatAttribute	format	<string>	The format of the given font. If the font is in one of the formats listed in CSS2 ([CSS2], section 15.3.5), such as TrueDoc Portable Font Resource or Embedded OpenType, then the <string> must contain the corresponding font format string, such as truedoc.pfr or embedded.opentype. (This attribute has the same meaning as the 'format' attribute on the 'glyphRef' element.)Animatable. no.
AltGlyphElementXAttribute	x	<list.of.coordinates>	The <coordinate> values are processed in the same manner as the 'x' attribute on the 'tspan' element, with the following exception. If the referenced alternate glyphs are rendered instead of the Unicode characters inside the 'altGlyph' element, then any absolute X coordinates specified via an 'x' attribute on this element or any ancestor 'text' or 'tspan' elements for Unicode characters 2 through n within the 'altGlyph' element are ignored. Any absolute X coordinate specified via an 'x' attribute on this element or any ancestor 'text' or 'tspan' elements for the first Unicode character within the 'altGlyph' element sets a new absolute X coordinate for the current text position before rendering the first alternate glyph.Animatable. yes.
AltGlyphElementYAttribute	y	<list.of.coordinates>	The corresponding absolute Y coordinates for rendering the 'altGlyph' element.Animatable. yes.
AltGlyphElementDXAttribute	dx	<list.of.lengths>	The <length> values are processed in the same manner as the 'dx' attribute on the 'tspan' element, with the following exception. If the referenced alternate glyphs are rendered instead of the Unicode characters inside the 'altGlyph' element, then any relative X coordinates specified via an 'dx' attribute on this element or any ancestor 'text' or 'tspan' elements for Unicode characters 2 through n within the 'altGlyph' element are ignored. Any relative X coordinate specified via an 'dx' attribute on this element or any ancestor 'text' or 'tspan' elements for the first Unicode character within the 'altGlyph' element sets a new relative X coordinate for the current text position before rendering the first alternate glyph.Animatable. yes.
AltGlyphElementDYAttribute	dy	<list.of.lengths>	The corresponding relative Y coordinates for rendering the 'altGlyph' element.Animatable. yes.
AltGlyphElementRotateAttribute	rotate	<list.of.numbers>	The <number> values are processed in the same manner as the 'rotate' attribute on the 'tspan' element, with the following exception. If the referenced alternate glyphs are rendered instead of the Unicode characters inside the 'altGlyph' element, then any supplemental rotation values specified via an 'rotate' attribute on this element or any ancestor 'text' or 'tspan' elements for Unicode characters 2 through n within the 'altGlyph' element are ignored. Supplemental rotation values specified via an 'rotate' attribute on this element or any ancestor 'text' or 'tspan' elements for the first Unicode character within the 'altGlyph' element sets a new supplemental rotation angle before rendering the alternate glyphs.Animatable. yes (non.additive).
GlyphRefElementHrefAttribute	xlink:href	<iri>	An IRI reference to a 'glyph' element in an SVG document fragment. The referenced 'glyph' is rendered as an alternate glyph.Animatable. no.
GlyphRefElementGlyphRefAttribute	glyphRef	<string>	The glyph identifier, the format of which is dependent on the 'format' of the given font.Animatable. no.
GlyphRefElementFormatAttribute	format	<string>	The format of the given font. If the font is in one of the formats listed in CSS2 ([CSS2], section 15.3.5), such as TrueDoc Portable Font Resource or Embedded OpenType, then the <string> must contain the corresponding font format string, such as truedoc.pfr or embedded.opentype.Animatable. no.
GlyphRefElementXAttribute	x	<number>	This value represents the new absolute X coordinate within the font's coordinate system for this glyph. The font coordinate system is based on the em square model described in the Fonts chapter of CSS2 ([CSS2], chapter 15). If the attribute is not specified, for the first 'glyphRef' child element, the effect is as if the attribute were set to "0", whereas for subsequent 'glyphRef' child elements, the effect is as if the attribute were set to the end X coordinate from the previous 'glyphRef' element.Animatable. no.
GlyphRefElementYAttribute	y	<number>	The corresponding new absolute Y coordinate within the font's coordinate system for this glyph.Animatable. no.
GlyphRefElementDXAttribute	dx	<number>	This value represents the relative X coordinate within the font's coordinate system for this glyph. The glyph is thus shifted by <number> units along the positive X axis within the font's coordinate system supplemental to the absolute X coordinate established by the 'x' attribute (either due to an explicit 'x' attribute or due to default value processing for the 'x' attribute). The font coordinate system is based on the em square model described in the Fonts chapter of CSS2 ([CSS2], chapter 15). If the attribute is not specified, the effect is as if the attribute were set to "0".Animatable. no.
GlyphRefElementDYAttribute	dy	<number>	The corresponding number of units within the font's coordinate system to shift the glyph along the positive Y axis relative to the absolute Y coordinate established by the 'y' attribute.Animatable. no.
RectElementXAttribute	x	<coordinate>	The x.axis coordinate of the side of the rectangle which has the smaller x.axis coordinate value in the current user coordinate system. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
RectElementYAttribute	y	<coordinate>	The y.axis coordinate of the side of the rectangle which has the smaller y.axis coordinate value in the current user coordinate system. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
RectElementWidthAttribute	width	<length>	The width of the rectangle. A negative value is an error (see Error processing). A value of zero disables rendering of the element.Animatable. yes.
RectElementHeightAttribute	height	<length>	The height of the rectangle. A negative value is an error (see Error processing). A value of zero disables rendering of the element.Animatable. yes.
RectElementRXAttribute	rx	<length>	For rounded rectangles, the x.axis radius of the ellipse used to round off the corners of the rectangle. A negative value is an error (see Error processing). See the notes below about what happens if the attribute is not specified.Animatable. yes.
RectElementRYAttribute	ry	<length>	For rounded rectangles, the y.axis radius of the ellipse used to round off the corners of the rectangle. A negative value is an error (see Error processing). See the notes below about what happens if the attribute is not specified.Animatable. yes.
CircleElementCXAttribute	cx	<coordinate>	The x.axis coordinate of the center of the circle. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
CircleElementCYAttribute	cy	<coordinate>	The y.axis coordinate of the center of the circle. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
CircleElementRAttribute	r	<length>	The radius of the circle. A negative value is an error (see Error processing). A value of zero disables rendering of the element.Animatable. yes.
EllipseElementCXAttribute	cx	<coordinate>	The x.axis coordinate of the center of the ellipse. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
EllipseElementCYAttribute	cy	<coordinate>	The y.axis coordinate of the center of the ellipse. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
EllipseElementRXAttribute	rx	<length>	The x.axis radius of the ellipse. A negative value is an error (see Error processing). A value of zero disables rendering of the element.Animatable. yes.
EllipseElementRYAttribute	ry	<length>	The y.axis radius of the ellipse. A negative value is an error (see Error processing). A value of zero disables rendering of the element.Animatable. yes.
LineElementX1Attribute	x1	<coordinate>	The x.axis coordinate of the start of the line. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
LineElementY1Attribute	y1	<coordinate>	The y.axis coordinate of the start of the line. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
LineElementX2Attribute	x2	<coordinate>	The x.axis coordinate of the end of the line. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
LineElementY2Attribute	y2	<coordinate>	The y.axis coordinate of the end of the line. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
PolylineElementPointsAttribute	points	<list.of.points>	The points that make up the polyline. All coordinate values are in the user coordinate system.Animatable. yes.
PolygonElementPointsAttribute	points	<list.of.points>	The points that make up the polygon. All coordinate values are in the user coordinate system.Animatable. yes.
ClipPathElementClipPathUnitsAttribute	clipPathUnits	 "userSpaceOnUse | objectBoundingBox"	Defines the coordinate system for the contents of the 'clipPath'. If clipPathUnits="userSpaceOnUse", the contents of the 'clipPath' represent values in the current user coordinate system in place at the time when the 'clipPath' element is referenced (i.e., the user coordinate system for the element referencing the 'clipPath' element via the 'clip.path' property). If clipPathUnits="objectBoundingBox", then the user coordinate system for the contents of the 'clipPath' element is established using the bounding box of the element to which the clipping path is applied (see Object bounding box units). If attribute 'clipPathUnits' is not specified, then the effect is as if a value of 'userSpaceOnUse' were specified.Animatable. yes.
MaskElementMaskUnitsAttribute	maskUnits	 "userSpaceOnUse | objectBoundingBox"	Defines the coordinate system for attributes 'x', 'y', 'width' and 'height'. If maskUnits="userSpaceOnUse", 'x', 'y', 'width' and 'height' represent values in the current user coordinate system in place at the time when the 'mask' element is referenced (i.e., the user coordinate system for the element referencing the 'mask' element via the 'mask' property). If maskUnits="objectBoundingBox", 'x', 'y', 'width' and 'height' represent fractions or percentages of the bounding box of the element to which the mask is applied. (See Object bounding box units.) If attribute 'maskUnits' is not specified, then the effect is as if a value of 'objectBoundingBox' were specified.Animatable. yes.
MaskElementMaskContentUnitsAttribute	maskContentUnits	 "userSpaceOnUse | objectBoundingBox"	Defines the coordinate system for the contents of the 'mask'. If maskContentUnits="userSpaceOnUse", the user coordinate system for the contents of the 'mask' element is the current user coordinate system in place at the time when the 'mask' element is referenced (i.e., the user coordinate system for the element referencing the 'mask' element via the 'mask' property). If maskContentUnits="objectBoundingBox", the user coordinate system for the contents of the 'mask' is established using the bounding box of the element to which the mask is applied. (See Object bounding box units.) If attribute 'maskContentUnits' is not specified, then the effect is as if a value of 'userSpaceOnUse' were specified.Animatable. yes.
MaskElementXAttribute	x	<coordinate>	The x.axis coordinate of one corner of the rectangle for the largest possible offscreen buffer. Note that the clipping path used to render any graphics within the mask will consist of the intersection of the current clipping path associated with the given object and the rectangle defined by 'x', 'y', 'width' and 'height'. If the attribute is not specified, the effect is as if a value of '.10' were specified.Animatable. yes.
MaskElementYAttribute	y	<coordinate>	The y.axis coordinate of one corner of the rectangle for the largest possible offscreen buffer. If the attribute is not specified, the effect is as if a value of '.10' were specified.Animatable. yes.
MaskElementWidthAttribute	width	<length>	The width of the largest possible offscreen buffer. Note that the clipping path used to render any graphics within the mask will consist of the intersection of the current clipping path associated with the given object and the rectangle defined by 'x', 'y', 'width' and 'height'. A negative value is an error (see Error processing). A value of zero disables rendering of the element. If the attribute is not specified, the effect is as if a value of '120' were specified.Animatable. yes.
MaskElementHeightAttribute	height	<length>	The height of the largest possible offscreen buffer. A negative value is an error (see Error processing). A value of zero disables rendering of the element. If the attribute is not specified, the effect is as if a value of '120' were specified.Animatable. yes.
ForeignObjectElementXAttribute	x	<coordinate>	The x.axis coordinate of one corner of the rectangular region into which the graphics associated with the contents of the 'foreignObject' will be rendered. If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. yes.
ForeignObjectElementYAttribute	y	<coordinate>	The y.axis coordinate of one corner of the rectangular region into which the referenced document is placed. If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. yes.
ForeignObjectElementWidthAttribute	width	<length>	The width of the rectangular region into which the referenced document is placed. A negative value is an error (see Error processing). A value of zero disables rendering of the element.Animatable. yes.
ForeignObjectElementHeightAttribute	height	<length>	The height of the rectangular region into which the referenced document is placed. A negative value is an error (see Error processing). A value of zero disables rendering of the element.Animatable. yes.
